Designator,Mid X,Mid Y,Rotation,Layer
D1,132.715,-85.217,0.0,top
D2,132.715,-87.503,0.0,top
D3,132.715,-89.789,0.0,top
D4,132.6735,-92.1,0.0,top
D5,132.6705,-94.436,0.0,top
J1,143.1036,-78.5591,90.0,top
J2,131.6736,-82.296,0.0,top
Q1,138.6955,-82.2885,90.0,top
Q2,142.2515,-82.2885,90.0,top
Q3,145.8075,-82.2885,90.0,top
Q4,149.3635,-82.2885,90.0,top
Q5,153.0465,-82.2885,90.0,top
R1,137.9937,-89.1425,180.0,top
R10,149.7285,-86.9835,0.0,top
R2,141.9213,-89.1425,180.0,top
R3,145.7915,-89.1425,180.0,top
R4,149.7285,-89.1425,180.0,top
R5,153.6655,-89.1425,180.0,top
R6,137.9937,-86.9835,0.0,top
R7,141.9213,-86.9581,0.0,top
R8,145.7915,-86.9835,0.0,top
R9,153.6655,-86.9835,0.0,top
U1,146.3491,-100.2927,270.0,top
